timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot x_rgbd y_rgbd z_rgbd roll_rgbd pitch_rgbd yaw_rgbd
1789257092678 -0.6715 -0.9467 0.4814 30.0000 1.3679 -68.8765 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257097744 -0.6386 -0.9346 0.4823 30.0000 1.3679 -66.8743 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257102851 -0.6062 -0.9214 0.4831 30.0000 1.3679 -64.8720 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257107943 -0.5742 -0.9071 0.4839 30.0000 1.3679 -62.8699 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257113051 -0.5428 -0.8917 0.4848 30.0000 1.3679 -60.8676 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257118124 -0.5119 -0.8751 0.4856 30.0000 1.3679 -58.8654 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257123192 -0.4817 -0.8576 0.4865 30.0000 1.3679 -56.8632 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257128249 -0.4520 -0.8389 0.4873 30.0000 1.3679 -54.8610 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257133296 -0.4230 -0.8193 0.4881 30.0000 1.3679 -52.8588 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257138346 -0.3948 -0.7986 0.4890 30.0000 1.3679 -50.8565 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257143422 -0.3672 -0.7770 0.4898 30.0000 1.3679 -48.8543 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257148472 -0.3405 -0.7544 0.4906 30.0000 1.3679 -46.8520 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257153569 -0.3145 -0.7309 0.4915 30.0000 1.3679 -44.8499 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257158652 -0.2894 -0.7065 0.4923 30.0000 1.3679 -42.8476 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257163745 -0.2652 -0.6812 0.4931 30.0000 1.3679 -40.8454 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257168853 -0.2418 -0.6551 0.4940 30.0000 1.3679 -38.8431 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257173938 -0.2194 -0.6283 0.4948 30.0000 1.3679 -36.8409 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257179038 -0.1979 -0.6006 0.4956 30.0000 1.3679 -34.8387 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257184148 -0.1774 -0.5722 0.4965 30.0000 1.3679 -32.8365 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257189231 -0.1579 -0.5431 0.4973 30.0000 1.3679 -30.8343 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257194299 -0.1395 -0.5134 0.4981 30.0000 1.3679 -28.8320 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257199376 -0.1220 -0.4830 0.4990 30.0000 1.3679 -26.8299 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257204464 -0.1057 -0.4520 0.4998 30.0000 1.3679 -24.8276 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257209547 -0.0905 -0.4205 0.5006 30.0000 1.3679 -22.8254 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257214680 -0.0763 -0.3885 0.5015 30.0000 1.3679 -20.8231 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257219785 -0.0633 -0.3560 0.5023 30.0000 1.3679 -18.8209 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257224886 -0.0515 -0.3230 0.5031 30.0000 1.3679 -16.8187 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257229978 -0.0407 -0.2897 0.5040 30.0000 1.3679 -14.8165 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257235085 -0.0312 -0.2560 0.5048 30.0000 1.3679 -12.8142 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
