frame_id,valid_prediction,error_msg,translation_error_m,geodesic_rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,translation_loss,rotation_loss,beta,weighted_pose_loss,inference_runtime_seconds,viewing_angle_deg,dx_m,dy_m,dz_m,gt_x,gt_y,gt_z,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,est_x,est_y,est_z,est_roll_deg,est_pitch_deg,est_yaw_deg,world_marker_x,world_marker_y,world_marker_z,world_marker_roll_deg,world_marker_pitch_deg,world_marker_yaw_deg,world_camera_x,world_camera_y,world_camera_z,world_camera_roll_deg,world_camera_pitch_deg,world_camera_yaw_deg
1789254571322,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.17723757560528,nan,nan,nan,0.7684000000000002,0.09664734455039031,2.3345295330732823,162.18400055738587,29.329600122491108,25.267262009691862,nan,nan,nan,nan,nan,nan,-0.3569,0.7684,0.0818,30.0,1.3679,52.0578,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254577335,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.18814253580141,nan,nan,nan,0.7904000000000002,0.08030882864178174,2.356294249885227,161.40922842657062,27.837182659596376,23.747995769782065,nan,nan,nan,nan,nan,nan,-0.3841,0.7904,0.0827,30.0,1.3679,54.0601,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254583237,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.284355224840105,nan,nan,nan,0.8114000000000002,0.06359336678852123,2.378771645976238,160.68920919775513,26.327570249757724,22.271666816776825,nan,nan,nan,nan,nan,nan,-0.4121,0.8114,0.0835,30.0,1.3679,56.0623,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254588964,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.462524610384122,nan,nan,nan,0.8315000000000002,0.04647640142981502,2.4018224484982507,160.02132894709897,24.802153103186672,20.83493336323441,nan,nan,nan,nan,nan,nan,-0.4408,0.8315,0.0843,30.0,1.3679,58.0645,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254594568,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,26.719619755547402,nan,nan,nan,0.8505000000000003,0.028876017361234185,2.425389299807631,159.40319935030507,23.262291079579313,19.434681944149027,nan,nan,nan,nan,nan,nan,-0.4702,0.8505,0.0852,30.0,1.3679,60.0667,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254600296,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,27.046034837344294,nan,nan,nan,0.8685000000000003,0.011013402635271619,2.4495049999872203,158.83258721751278,21.709171515542852,18.06787730814761,nan,nan,nan,nan,nan,nan,-0.5002,0.8685,0.086,30.0,1.3679,62.069,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254606451,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,27.43929405902256,nan,nan,nan,0.8854000000000002,-0.007250715596136714,2.4741941065978112,158.30752169601948,20.144129295251147,16.731826545256006,nan,nan,nan,nan,nan,nan,-0.5309,0.8854,0.0868,30.0,1.3679,64.0712,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254612171,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,27.894288910829285,nan,nan,nan,0.9013000000000002,-0.02588353725014947,2.499235431586912,157.82611814331582,18.568189869900912,15.423761390200836,nan,nan,nan,nan,nan,nan,-0.5621,0.9013,0.0877,30.0,1.3679,66.0734,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254617745,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,28.402276138108892,nan,nan,nan,0.9160000000000003,-0.0447785895615439,2.524825605446221,157.3866885797395,16.982386843515783,14.141103694450269,nan,nan,nan,nan,nan,nan,-0.5939,0.916,0.0885,30.0,1.3679,68.0756,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254623491,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,28.959350388438125,nan,nan,nan,0.9297000000000002,-0.06390307244747878,2.5507434401232456,156.98768709665558,15.387612210688737,12.881324427882301,nan,nan,nan,nan,nan,nan,-0.6261,0.9297,0.0893,30.0,1.3679,70.0779,1.5,0.0,1.5,-125.0,180.0,-90.0
