timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot runtime
0167 -0.048372045159339905 -0.7162160873413086 2.759371042251587 -149.491398659177 -33.07344484841599 -128.30528108331583 0.03569941999739967
0168 -0.05675743892788887 -0.7137832045555115 2.758817434310913 -149.40351140830273 -30.999356816038212 -129.51810859035052 0.03558115700434428
0169 -0.06344503909349442 -0.7030832767486572 2.7232582569122314 -145.3921376623763 -30.19820315903705 -131.232460603969 0.05788228399615036
0170 -0.07121613621711731 -0.6995431184768677 2.71679949760437 -147.73911044435218 -29.496937674023687 -133.4872213936315 0.03587890599737875
0171 -0.07904075086116791 -0.7003253102302551 2.727609634399414 -145.37146316229953 -29.645810779685362 -135.2519985847361 0.03727394099405501
0172 -0.08544174581766129 -0.6920518279075623 2.7009594440460205 -144.05379561597772 -27.839738868818873 -138.01818065038344 0.03983185800461797
0173 -0.09172432124614716 -0.6832015514373779 2.6757729053497314 -142.58658401712324 -25.901871283704764 -139.75124953165061 0.033787915999710094
0174 -0.10008495301008224 -0.6844327449798584 2.690042734146118 -142.58456425220047 -26.035539461880667 -141.19761570685233 0.03864009499375243
0175 -0.10505742579698563 -0.6835576295852661 2.6924586296081543 -142.6858742760095 -25.103790707532 -143.04712624238326 0.037418866995722055
0176 -0.10529822111129761 -0.679646909236908 2.680131673812866 -142.14007571410653 -24.576245607602647 -142.95204942589285 0.03866616300365422
0177 -0.10600650310516357 -0.6798075437545776 2.681675910949707 -142.70603118679878 -24.266290665941195 -142.8008622030736 0.03176099999836879
0178 -0.10569943487644196 -0.6776043176651001 2.6731936931610107 -142.03595525336604 -24.326127314714476 -142.90999762722234 0.038530088000698015
0179 -0.10566578060388565 -0.6772027611732483 2.6716246604919434 -142.27189336418039 -24.636326452878016 -143.027007599495 0.03397705099632731
0180 -0.10567209124565125 -0.6771130561828613 2.671351194381714 -142.15352367549815 -24.450687308360575 -143.0842562690369 0.03973943900200538
0181 -0.10581547766923904 -0.6778126358985901 2.6742539405822754 -142.27538111263533 -24.255259532937625 -143.01757311279127 0.03262951700162375
0182 -0.10610625147819519 -0.6793254613876343 2.680600881576538 -142.45673066721082 -24.039189568717646 -142.7976468031871 0.03777137299766764
0183 -0.10605038702487946 -0.6790040731430054 2.6794323921203613 -142.4542335856529 -23.942439778881187 -142.69769621081664 0.03615733799961163
0184 -0.10619573295116425 -0.6793976426124573 2.6811060905456543 -142.69938996065378 -23.478943918910947 -142.4655741136051 0.04176762999850325
0185 -0.10640332847833633 -0.6801990270614624 2.684633731842041 -142.45432973297525 -23.40976489129387 -142.36453522970862 0.033168601999932434
0186 -0.10624460875988007 -0.6792663931846619 2.6809237003326416 -142.5865528693343 -23.416724167400414 -142.44893092009193 0.039983442999073304
0187 -0.10628557950258255 -0.6792897582054138 2.681023359298706 -142.43228076836292 -23.328356951939128 -142.47712767438856 0.03406526799517451
0188 -0.10635516047477722 -0.6794082522392273 2.681565761566162 -142.52249963189666 -23.229052561561392 -142.4517342649652 0.03963528900203528
0189 -0.1064634770154953 -0.6799972653388977 2.683933973312378 -142.5891999118477 -23.544533065539927 -142.4836400798475 0.03343093000148656
0190 -0.1062936782836914 -0.6795521378517151 2.681992530822754 -142.37922155151992 -23.732036160763336 -142.6184523613212 0.03877923399704741
0191 -0.10613449662923813 -0.6787311434745789 2.678682565689087 -142.44862350221175 -23.86639441854732 -142.70058480953372 0.03224299699650146
0192 -0.10597359389066696 -0.6781172156333923 2.676175594329834 -142.31428899114536 -23.956166154100654 -142.80246304994682 0.03936563799652504
0193 -0.10599514096975327 -0.6779410243034363 2.6758697032928467 -142.35515349006857 -24.367013847031732 -142.95134710532272 0.028104860000894405
0194 -0.10572397708892822 -0.6764965057373047 2.6700053215026855 -142.48609354893702 -24.061325876363437 -142.9315415960486 0.033348099001159426
0195 -0.10582216829061508 -0.6769356727600098 2.6715900897979736 -142.20721298777175 -24.205146958529046 -142.97662491219032 0.03277345999958925
0196 -0.1057201474905014 -0.6764326691627502 2.6696770191192627 -142.4154406373422 -24.412719353039133 -143.02199367589873 0.03436311400582781
